|R|,Mean,Std,L,N
2450,0.5014619368168496,0.034487412593865646,0.025073096840842482,29.072166919633897
9702,0.7206001916998502,0.05374090398995254,0.036030009584992514,34.18639559177145
22650,0.8993195238834839,0.08421087068970953,0.044965976194174195,53.893997396181724
39800,1.1332435612664389,0.09654449609421192,0.056662178063321945,44.61086509691711
62250,1.3416149541995765,0.11969646415977608,0.06708074770997884,48.92591849445406
90300,1.5591059847665747,0.10832550433366392,0.07795529923832874,29.671690305760183
120756,2.7531531682331356,0.1494717446605492,0.13765765841165678,18.117137724580896
162812,3.100657907383235,0.15714099021377304,0.15503289536916176,15.787137415071864
201152,3.2894917315666437,0.22422003508364774,0.1644745865783322,28.55770871606749
249500,3.460302069533282,0.20664042415579706,0.1730151034766641,21.919703212187425
