|R|,Mean,Std,L,N
2450,0.46710184343313205,0.025597789406873347,0.023355092171656603,18.459242979508456
9702,0.6082643573836322,0.05145329051218514,0.030413217869181608,43.981870488432264
22650,0.8255475635836774,0.09039779571406044,0.04127737817918387,73.69934135436367
39800,0.9781677465670024,0.09103799395110601,0.04890838732835012,53.24156427661395
62250,1.191649801799819,0.09957656696783687,0.05958249008999095,42.91895447756098
90300,2.1786070866498752,0.10391210053184935,0.10893035433249376,13.983199354638208
120756,2.5081507646997125,0.14988740507685208,0.12540753823498563,21.95104148822189
162812,2.73272540441673,0.1447210868136341,0.13663627022083652,17.238670458920208
201152,2.90939395284992,0.3104442882162175,0.145469697642496,69.98329869371176
249500,3.005749057899993,0.1635869426176233,0.15028745289499967,18.20639485692567
