|R|,Mean,Std,L,N
2450,0.4759723201833064,0.025374104922464242,0.02379861600916532,17.468281957727406
9702,0.6810465592665423,0.05264223269262306,0.03405232796332712,36.723758278086954
22650,0.9015590372501416,0.07468748682954321,0.045077951862507085,42.1831954516313
39800,1.4269374759167173,0.12852275899482005,0.07134687379583586,49.86344926451858
62250,1.5066820789166135,0.11999707255812755,0.07533410394583068,38.987930428248035
90300,1.6662723662336552,0.12141834346647049,0.08331361831168277,32.636888538921
120756,2.862585584766809,0.177877840336463,0.14312927923834046,23.733340021385843
162812,3.8941689904666417,0.20757613863306623,0.1947084495233321,17.46454979724552
201152,4.048624545499843,0.2263857260320778,0.20243122727499216,19.218310188198515
249500,4.166930050850594,0.19991890679029348,0.2083465025425297,14.148403651934494
