|R|,Mean,Std,L,N
2450,0.46800915501686785,0.02067961442300228,0.023400457750843394,12.000747605961152
9702,0.663605254033367,0.04665946800054565,0.03318026270166835,30.387296203332294
22650,0.9811387216834798,0.10361785497548363,0.049056936084174,68.55521365046054
39800,1.1371644022666563,0.10874202706487487,0.056858220113332816,56.205713078946964
62250,1.35189515484999,0.12543115543042374,0.0675947577424995,52.91233753495093
90300,2.2116245026167234,0.12442540866311444,0.11058122513083618,19.454832288986612
120756,2.794216327166699,0.17088205178609214,0.13971081635833496,22.98820034011605
162812,3.034326134600087,0.16193992928245926,0.15171630673000436,17.50715192785306
201152,3.251038719816764,0.19638894311460758,0.1625519359908382,22.429619558156784
249500,3.37707862813301,0.11721489203092524,0.1688539314066505,7.404834635401604
